date,ticker,close_price
2021-01-04,AAPL,125.7408676147461
2021-01-05,AAPL,127.29548645019531
2021-01-06,AAPL,123.01050567626953
2021-01-07,AAPL,127.20806121826172
2021-01-08,AAPL,128.30601501464844
2021-01-11,AAPL,125.32306671142578
2021-01-12,AAPL,125.14815521240234
2021-01-13,AAPL,127.17887878417969
2021-01-14,AAPL,125.25504302978516
2021-01-15,AAPL,123.53520965576172
2021-01-19,AAPL,124.20565032958984
2021-01-20,AAPL,128.28656005859375
2021-01-21,AAPL,132.98931884765625
2021-01-22,AAPL,135.12696838378906
2021-01-25,AAPL,138.86781311035156
2021-01-26,AAPL,139.1009979248047
2021-01-27,AAPL,138.03219604492188
2021-01-28,AAPL,133.203125
2021-01-29,AAPL,128.2185516357422
2021-02-01,AAPL,130.33670043945312
2021-02-02,AAPL,131.1626434326172
2021-02-03,AAPL,130.14242553710938
2021-02-04,AAPL,133.49459838867188
2021-02-05,AAPL,133.0810089111328
2021-02-08,AAPL,133.2269744873047
2021-02-09,AAPL,132.35118103027344
2021-02-10,AAPL,131.7478790283203
2021-02-11,AAPL,131.494873046875
2021-02-12,AAPL,131.72842407226562
2021-02-16,AAPL,129.6070556640625
2021-02-17,AAPL,127.32028198242188
2021-02-18,AAPL,126.22065734863281
2021-02-19,AAPL,126.3763656616211
2021-02-22,AAPL,122.6104736328125
2021-02-23,AAPL,122.4742660522461
2021-02-24,AAPL,121.97795104980469
2021-02-25,AAPL,117.73524475097656
2021-02-26,AAPL,117.99800109863281
2021-03-01,AAPL,124.35234069824219
2021-03-02,AAPL,121.75414276123047
2021-03-03,AAPL,118.77647399902344
2021-03-04,AAPL,116.89838409423828
2021-03-05,AAPL,118.1536865234375
2021-03-08,AAPL,113.22980499267578
2021-03-09,AAPL,117.83256530761719
2021-03-10,AAPL,116.75242614746094
2021-03-11,AAPL,118.6791763305664
2021-03-12,AAPL,117.774169921875
2021-03-15,AAPL,120.654541015625
2021-03-16,AAPL,122.19203186035156
2021-03-17,AAPL,121.4038314819336
2021-03-18,AAPL,117.28762817382812
2021-03-19,AAPL,116.76214599609375
2021-03-22,AAPL,120.07070922851562
2021-03-23,AAPL,119.2435531616211
2021-03-24,AAPL,116.85945129394531
2021-03-25,AAPL,117.34601593017578
2021-03-26,AAPL,117.94931030273438
2021-03-29,AAPL,118.1244888305664
2021-03-30,AAPL,116.67457580566406
2021-03-31,AAPL,118.86405181884766
2021-04-01,AAPL,119.691162109375
2021-04-05,AAPL,122.51316833496094
