ticker_1,ticker_2,correlation
AAPL,AAPL,1.0
MSFT,AAPL,0.5838098146236396
NVDA,AAPL,0.4943129838344016
GOOGL,AAPL,0.5431772157873016
META,AAPL,0.46520657998388715
AMZN,AAPL,0.5409240083290372
TSLA,AAPL,0.4782738306505713
HD,AAPL,0.4097769723171718
JPM,AAPL,0.33146427640558507
BAC,AAPL,0.33653874583259186
V,AAPL,0.45895443987019047
UNH,AAPL,0.10291721891381773
JNJ,AAPL,0.13622268962575895
XOM,AAPL,0.15489900422741973
CVX,AAPL,0.19792138792372962
PG,AAPL,0.23790857588427072
KO,AAPL,0.2522783315356373
CAT,AAPL,0.2708457756326719
DIS,AAPL,0.3902955996403931
NEE,AAPL,0.2569018504793277
AAPL,MSFT,0.5838098146236396
MSFT,MSFT,1.0
NVDA,MSFT,0.5877055636975006
GOOGL,MSFT,0.5745209854954026
META,MSFT,0.5454860976070162
AMZN,MSFT,0.6192754574242971
TSLA,MSFT,0.3946684592972176
HD,MSFT,0.3412567798361924
JPM,MSFT,0.27499393881321654
BAC,MSFT,0.2714502435094842
V,MSFT,0.42048401332570456
UNH,MSFT,0.13020220049153564
JNJ,MSFT,0.03901286650597036
XOM,MSFT,0.05392217008049746
CVX,MSFT,0.11531849118978982
PG,MSFT,0.15046583943048258
KO,MSFT,0.1544274877482268
CAT,MSFT,0.16961529760032085
DIS,MSFT,0.3670672121074025
NEE,MSFT,0.18255108494323402
AAPL,NVDA,0.4943129838344016
MSFT,NVDA,0.5877055636975006
NVDA,NVDA,1.0
GOOGL,NVDA,0.508286844423057
META,NVDA,0.4898690521420454
AMZN,NVDA,0.5373586534519781
TSLA,NVDA,0.4672134889784264
HD,NVDA,0.28910501243224024
JPM,NVDA,0.30202469204331084
BAC,NVDA,0.26557007257375337
V,NVDA,0.3200339748418853
UNH,NVDA,0.05898547973909894
JNJ,NVDA,-0.10545378764391335
XOM,NVDA,0.06189468232728559
CVX,NVDA,0.11442442284103105
PG,NVDA,-0.011038922534616502
KO,NVDA,-0.011326895467717353
CAT,NVDA,0.30925396755276363
DIS,NVDA,0.34495694236674385
NEE,NVDA,0.11326295833072558
AAPL,GOOGL,0.5431772157873016
MSFT,GOOGL,0.5745209854954026
NVDA,GOOGL,0.508286844423057
GOOGL,GOOGL,1.0
META,GOOGL,0.5412635183775343
AMZN,GOOGL,0.6133375550602744
TSLA,GOOGL,0.4092329682780211
HD,GOOGL,0.3183435416994992
JPM,GOOGL,0.3119403273273018
